,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021952173,92.547796693049,0.1,g,inf,0.0
1,44244.10021952173,112.84512595970334,0.1,i,inf,0.0
2,44244.10021952173,248.4505391824221,0.1,r,inf,0.0
3,44244.60021952173,30.777535657657634,0.1,g,inf,0.0
4,44244.60021952173,25.662183531330268,0.1,i,inf,0.0
5,44244.60021952173,41.63185211857842,0.1,r,inf,0.0
6,44245.10021952173,30.416264320296538,0.1,g,inf,0.0
7,44245.10021952173,26.29242172162419,0.1,i,inf,0.0
8,44245.10021952173,44.169621289115014,0.1,r,inf,0.0
9,44245.60021952173,20.337010847619236,0.1,g,inf,0.0
10,44245.60021952173,21.6127742167088,0.1,i,inf,0.0
11,44245.60021952173,58.61959754524567,0.1,r,inf,0.0
12,44246.10021952173,14.20501563169826,0.1,g,inf,0.0
13,44246.10021952173,5.851525506157871,0.1,i,inf,0.0
14,44246.10021952173,44.296182823683594,0.1,r,inf,0.0
15,44246.60021952173,5.369567084318984,0.1,i,inf,0.0
16,44246.60021952173,33.33650061124678,0.1,r,inf,0.0
17,44246.60021952173,15.421604367995336,0.1,g,inf,0.0
18,44247.10021952173,27.78720599978321,0.1,r,inf,0.0
19,44247.10021952173,17.498751582086367,0.1,g,inf,0.0
20,44247.10021952173,8.374051783957114,0.1,i,inf,0.0
21,44247.60021952173,29.907183337980822,0.1,r,inf,0.0
22,44247.60021952173,20.06837794522722,0.1,g,inf,0.0
23,44247.60021952173,13.229727170820949,0.1,i,inf,0.0
24,44248.10021952173,28.073876340845796,0.1,r,inf,0.0
25,44248.10021952173,21.334151998604465,0.1,g,inf,0.0
26,44248.10021952173,18.857308861342226,0.1,i,inf,0.0
27,44248.60021952173,29.198912201207797,0.1,r,inf,0.0
28,44248.60021952173,21.136621778114833,0.1,g,inf,0.0
29,44248.60021952173,23.71163130440702,0.1,i,inf,0.0
30,44249.10021952173,30.515048902909882,0.1,r,inf,0.0
31,44249.10021952173,27.496367430757914,0.1,i,inf,0.0
32,44249.10021952173,20.858968363735723,0.1,g,inf,0.0
33,44249.60021952173,32.479188087951044,0.1,i,inf,0.0
34,44249.60021952173,32.696377928223725,0.1,r,inf,0.0
35,44249.60021952173,20.668624169216052,0.1,g,inf,0.0
36,44250.10021952173,36.66330996680325,0.1,i,inf,0.0
37,44250.10021952173,41.17449785216461,0.1,r,inf,0.0
38,44250.10021952173,21.179514900236992,0.1,g,inf,0.0
39,44250.60021952173,40.9279853627716,0.1,i,inf,0.0
40,44250.60021952173,48.501799223946676,0.1,r,inf,0.0
41,44250.60021952173,21.113991823547853,0.1,g,inf,0.0
42,44251.10021952173,45.97328936883801,0.1,i,inf,0.0
43,44251.10021952173,56.81396741114893,0.1,r,inf,0.0
44,44251.10021952173,21.70895632154495,0.1,g,inf,0.0
45,44251.60021952173,65.90824003850213,0.1,r,inf,0.0
46,44251.60021952173,21.255830820030745,0.1,g,inf,0.0
47,44251.60021952173,51.29869371745205,0.1,i,inf,0.0
48,44252.10021952173,21.822274816094982,0.1,g,inf,0.0
49,44252.10021952173,55.723494755138525,0.1,i,inf,0.0
50,44252.10021952173,71.64829848066536,0.1,r,inf,0.0
51,44252.60021952173,21.705631872363337,0.1,g,inf,0.0
52,44252.60021952173,60.74955713623526,0.1,i,inf,0.0
53,44252.60021952173,80.65718225095281,0.1,r,inf,0.0
54,44253.10021952173,22.240877608682723,0.1,g,inf,0.0
55,44253.10021952173,64.56457258680258,0.1,i,inf,0.0
56,44253.10021952173,87.45139341698749,0.1,r,inf,0.0
57,44253.60021952173,22.269494450516344,0.1,g,inf,0.0
58,44253.60021952173,68.79627812689623,0.1,i,inf,0.0
59,44253.60021952173,95.76199603549755,0.1,r,inf,0.0
60,44254.10021952173,72.68192193168944,0.1,i,inf,0.0
61,44254.10021952173,97.96409180206338,0.1,r,inf,0.0
62,44254.10021952173,20.98966208268016,0.1,g,inf,0.0
63,44254.60021952173,103.50514548550201,0.1,r,inf,0.0
64,44254.60021952173,21.39882163284464,0.1,g,inf,0.0
65,44254.60021952173,76.29392803387867,0.1,i,inf,0.0
66,44255.10021952173,109.29171488842044,0.1,r,inf,0.0
67,44255.10021952173,23.166174422696955,0.1,g,inf,0.0
68,44255.10021952173,79.7841806539492,0.1,i,inf,0.0
69,44255.60021952173,113.27878409725504,0.1,r,inf,0.0
70,44255.60021952173,24.770092200721184,0.1,g,inf,0.0
71,44255.60021952173,80.95932153588271,0.1,i,inf,0.0
72,44256.10021952173,120.16483110049501,0.1,r,inf,0.0
73,44256.10021952173,24.071319470372114,0.1,g,inf,0.0
74,44256.10021952173,84.38025229331787,0.1,i,inf,0.0
75,44256.60021952173,23.82792569319772,0.1,g,inf,0.0
76,44256.60021952173,86.77777266711249,0.1,i,inf,0.0
77,44256.60021952173,123.93769444629226,0.1,r,inf,0.0
78,44257.10021952173,88.40109883906162,0.1,i,inf,0.0
79,44257.10021952173,124.87158184219264,0.1,r,inf,0.0
80,44257.10021952173,23.62611299215238,0.1,g,inf,0.0
81,44257.60021952173,90.38185658401433,0.1,i,inf,0.0
82,44257.60021952173,125.47628747168511,0.1,r,inf,0.0
83,44257.60021952173,23.44807591234329,0.1,g,inf,0.0
84,44258.10021952173,90.15169630751068,0.1,i,inf,0.0
85,44258.10021952173,127.41815981859821,0.1,r,inf,0.0
86,44258.10021952173,22.859694016416984,0.1,g,inf,0.0
87,44258.60021952173,91.11569441669086,0.1,i,inf,0.0
88,44258.60021952173,131.20854640436593,0.1,r,inf,0.0
89,44258.60021952173,25.5864024767365,0.1,g,inf,0.0
90,44259.10021952173,92.49215354513821,0.1,i,inf,0.0
91,44259.10021952173,25.19656581035485,0.1,g,inf,0.0
92,44259.10021952173,135.1744462981927,0.1,r,inf,0.0
93,44259.60021952173,92.57876745935148,0.1,i,inf,0.0
94,44259.60021952173,135.49534930490955,0.1,r,inf,0.0
95,44259.60021952173,22.97454659629348,0.1,g,inf,0.0
96,44260.10021952173,25.81771824056914,0.1,g,inf,0.0
97,44260.10021952173,92.5523456917631,0.1,i,inf,0.0
98,44260.10021952173,136.2289017495511,0.1,r,inf,0.0
99,44260.60021952173,25.878261460529544,0.1,g,inf,0.0
100,44260.60021952173,134.82621444095554,0.1,r,inf,0.0
101,44260.60021952173,92.30212161801288,0.1,i,inf,0.0
102,44261.10021952173,91.545631435496,0.1,i,inf,0.0
103,44261.10021952173,23.750391040856652,0.1,g,inf,0.0
104,44261.10021952173,133.44586335263025,0.1,r,inf,0.0
105,44261.60021952173,131.85538795844678,0.1,r,inf,0.0
106,44261.60021952173,91.06739748698294,0.1,i,inf,0.0
107,44261.60021952173,28.97113456393818,0.1,g,inf,0.0
108,44262.10021952173,136.2009302560985,0.1,r,inf,0.0
109,44262.10021952173,91.97301889376016,0.1,i,inf,0.0
110,44262.10021952173,21.206245620218205,0.1,g,inf,0.0
111,44262.60021952173,90.2108518898189,0.1,i,inf,0.0
112,44262.60021952173,25.199812039876154,0.1,g,inf,0.0
113,44262.60021952173,133.5772188499791,0.1,r,inf,0.0
114,44263.10021952173,89.94432654527498,0.1,i,inf,0.0
115,44263.10021952173,23.21861468407257,0.1,g,inf,0.0
116,44263.10021952173,133.3060745411932,0.1,r,inf,0.0
117,44263.60021952173,89.1518408692595,0.1,i,inf,0.0
118,44263.60021952173,18.299726594734025,0.1,g,inf,0.0
119,44263.60021952173,133.50477160422733,0.1,r,inf,0.0
120,44264.10021952173,139.9437581007942,0.1,r,inf,0.0
121,44264.10021952173,19.199564623111577,0.1,g,inf,0.0
122,44264.10021952173,90.12481937483557,0.1,i,inf,0.0
